kode_prov,nama_prov,kode_satker,kode_ddn,nama_daerah,kode_skpd,nama_skpd,kode_unit_skpd,nama_unit_skpd,kode_urusan,nama_urusan,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,indikator_program,target_program,satuan_indikator_program,sasaran,kode_giat,nama_giat,indikator_giat,target_giat,satuan_indikator_giat,kode_sub_giat,nama_sub_giat,indikator_sub_giat,target_sub_giat,satuan_indikator_sub_giat,kode_dana,nama_dana,kode_akun,nama_akun,kode_kelompok,nama_kelompok,kode_jenis,nama_jenis,kode_objek,nama_objek,kode_standar_harga,nama_standar_harga,spesifikasi,satuan,volume,harga_satuan,koefisien,total_rincian,tahun_anggaran,jenis_apbd,kode_rekening,nama_rekening,kode_sub_rincian_objek,nama_sub_rincian_objek,lokasi,sumber_pendanaan,catatan,status
33,Jawa Tengah,SAT-33-007,33.02,Kabupaten Semarang,33.02.03,Dinas Pekerjaan Umum dan Penataan Ruang,33.02.03.01,Sekretariat - Dinas Pekerjaan Umum dan Penataan Ruang,1,Urusan Wajib Pelayanan Dasar,01,Pendidikan,1.01.12,Program Pengelolaan Keuangan Daerah,Opini BPK,71,Predikat,Meningkatnya pengelolaan keuangan daerah,1.01.12.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,22,Unit,1.01.12.07.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,158,Orang,6,Dana Transfer Khusus,5,Belanja Daerah,5.2,Belanja Modal,5.2.05,Belanja Modal Aset Tetap Lainnya,5.2.04.01,Belanja Modal Konstruksi Jalan,SH.008,AC Split 1 PK,Inverter low watt,Unit,226,5574000,1.15,1448682600,2024,Murni,5.1.01,Rekening Belanja Pegawai,01,Pembelian Langsung,Kantor SKPD,APBD Murni,,Disetujui
61,Kalimantan Barat,SAT-61-044,61.01,Kota Pontianak,61.01.14,Dinas Penanaman Modal dan PTSP,61.01.14.05,UPT Wilayah I - Dinas Penanaman Modal dan PTSP,1,Urusan Wajib Pelayanan Dasar,06,Sosial,1.06.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,90,%,Meningkatnya kualitas infrastruktur dasar,1.06.03.05,Penyusunan Dokumen Perencanaan,Jumlah dokumen,280,Dokumen,1.06.03.05.13,Renovasi Ruang Kantor,Luas renovasi,46,M2,5,Dana Desa,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.1.03,Belanja Bunga,5.1.02.01,Belanja Bahan Pakai Habis,SH.021,Bahan Bangunan Semen,50 kg/sak,Sak,161,77000,1.0,12397000,2024,Murni,5.2.01,Rekening Belanja Modal,02,Pengadaan Melalui Tender,Ruang Rapat Utama,APBD Perubahan,Lanjutan tahun sebelumnya,Disetujui
31,DKI Jakarta,SAT-31-027,31.02,Kota Jakarta Utara,31.02.10,Dinas Pengendalian Penduduk dan Keluarga Berencana,31.02.10.02,Bidang Perencanaan - Dinas Pengendalian Penduduk dan Keluarga Berencana,3,Urusan Pilihan,17,Pertanian,3.01.08,Program Peningkatan Tata Kelola Pemerintahan,Nilai SAKIP,82,Predikat,Meningkatnya akuntabilitas kinerja,3.01.08.09,Pembangunan Jalan dan Jembatan,Panjang jalan terbangun,299,Km,3.01.08.09.06,Penyusunan Laporan Kinerja,Jumlah laporan,176,Dokumen,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.1,Belanja Operasi,5.1.02,Belanja Barang dan Jasa,5.1.02.07,Belanja Sewa,SH.026,Obat-obatan Generik,Paket per bulan,Paket,408,1420000,1.15,666264000,2025,Murni,5.1.01,Rekening Belanja Pegawai,02,Pengadaan Melalui Tender,Sekolah,APBD Murni,,Revisi
36,Banten,SAT-36-028,36.01,Kota Tangerang,36.01.02,Dinas Kesehatan,36.01.02.02,Bidang Perencanaan - Dinas Kesehatan,4,Urusan Pemerintahan Umum,23,Kepegawaian,4.03.06,Program Pengelolaan Lingkungan Hidup,Indeks Kualitas Lingkungan Hidup,74,Poin,Meningkatnya kualitas lingkungan hidup,4.03.06.10,Pengelolaan Data dan Informasi,Jumlah data terkelola,63,Dataset,4.03.06.10.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,125,Orang,6,Dana Transfer Khusus,5,Belanja Daerah,5.2,Belanja Modal,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.02,Belanja Modal Meubelair,SH.049,Masker Medis,Masker 3 ply per box 50,Box,170,34907,0.5,2967095,2023,Perubahan,5.1.02,Rekening Belanja Barang,03,Penunjukan Langsung,Lapangan Umum,APBD Murni,Lanjutan tahun sebelumnya,Disetujui
35,Jawa Timur,SAT-35-032,35.01,Kota Surabaya,35.01.20,Dinas Komunikasi dan Informatika,35.01.20.06,UPT Wilayah II - Dinas Komunikasi dan Informatika,2,Urusan Wajib Non Pelayanan Dasar,15,Perhubungan,2.09.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,89,%,Meningkatnya kualitas infrastruktur dasar,2.09.03.04,Peningkatan Kapasitas Aparatur,Jumlah aparatur yang ditingkatkan,144,Orang,2.09.03.04.13,Renovasi Ruang Kantor,Luas renovasi,114,M2,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.2,Belanja Modal,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.017,Perjalanan Dinas Luar Daerah,Per hari,OH,319,619000,1.0,197461000,2023,Murni,5.1.02,Rekening Belanja Barang,02,Pengadaan Melalui Tender,Sekolah,APBD Perubahan,Prioritas daerah,Disetujui
31,DKI Jakarta,SAT-31-001,31.01,Kota Jakarta Pusat,31.01.15,Dinas Kepemudaan dan Olahraga,31.01.15.02,Bidang Perencanaan - Dinas Kepemudaan dan Olahraga,4,Urusan Pemerintahan Umum,22,Keuangan,4.02.09,Program Pemberdayaan Masyarakat,Persentase partisipasi masyarakat,89,%,Meningkatnya pemberdayaan masyarakat,4.02.09.13,Sosialisasi dan Penyuluhan,Jumlah peserta sosialisasi,373,Orang,4.02.09.13.01,Penyediaan Gaji dan Tunjangan ASN,Jumlah ASN terbayar,16,Orang,5,Dana Desa,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.1.05,Belanja Hibah,5.1.02.03,Belanja Jasa Kantor,SH.012,BBM Pertalite,Per liter,Liter,154,10000,1.0,1540000,2023,Perubahan,1.1.01,Kas di Kas Daerah,01,Pembelian Langsung,Lapangan Umum,Dana Transfer,Prioritas daerah,Disetujui
33,Jawa Tengah,SAT-33-036,33.01,Kota Semarang,33.01.01,Dinas Pendidikan,33.01.01.06,UPT Wilayah II - Dinas Pendidikan,1,Urusan Wajib Pelayanan Dasar,05,Ketenteraman dan Ketertiban Umum,1.05.07,Program Penanggulangan Kemiskinan,Persentase penduduk miskin,59,%,Menurunnya tingkat kemiskinan,1.05.07.06,Pelaksanaan Monitoring dan Evaluasi,Jumlah kegiatan monev,325,Kegiatan,1.05.07.06.04,Pemeliharaan Kendaraan Dinas,Jumlah kendaraan terpelihara,34,Unit,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.2.04,"Belanja Modal Jalan, Irigasi dan Jaringan",5.2.04.01,Belanja Modal Konstruksi Jalan,SH.019,Jasa Kebersihan Kantor,Per bulan,Bulan,96,5489000,1.0,526944000,2022,Murni,1.1.02,Kas di Bendahara Pengeluaran,05,Swakelola,Gedung Serbaguna,Hibah,Menunggu DAK,Selesai
34,DI Yogyakarta,SAT-34-035,34.01,Kota Yogyakarta,34.01.01,Dinas Pendidikan,34.01.01.01,Sekretariat - Dinas Pendidikan,3,Urusan Pilihan,19,Perdagangan,3.03.11,Program Peningkatan Mutu Pendidikan,Rata-rata lama sekolah,86,Tahun,Meningkatnya akses dan mutu pendidikan,3.03.11.12,Koordinasi dan Sinkronisasi Program,Jumlah rapat koordinasi,323,Kali,3.03.11.12.01,Penyediaan Gaji dan Tunjangan ASN,Jumlah ASN terbayar,161,Orang,8,Sisa Lebih Perhitungan Anggaran (SiLPA),5,Belanja Daerah,5.2,Belanja Modal,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.044,Kopi Sachet,Kopi sachet kemasan,Sachet,397,2284,1.1,997422,2023,Murni,1.1.03,Kas di Bendahara Penerimaan,02,Pengadaan Melalui Tender,Kantor Kelurahan,APBD Perubahan,,Disetujui
12,Sumatera Utara,SAT-12-041,12.01,Kota Medan,12.01.07,Dinas Lingkungan Hidup,12.01.07.04,Bidang Evaluasi dan Pelaporan - Dinas Lingkungan Hidup,4,Urusan Pemerintahan Umum,21,Perencanaan,4.01.02,Program Peningkatan Kualitas Pelayanan Publik,Indeks Kepuasan Masyarakat,94,Poin,Meningkatnya kualitas pelayanan publik,4.01.02.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,413,Layanan,4.01.02.11.08,Penyediaan Jasa Keamanan,Jumlah petugas keamanan,164,Orang,1,Dana Alokasi Umum (DAU),5,Belanja Daerah,5.1,Belanja Operasi,5.1.05,Belanja Hibah,5.1.02.04,Belanja Premi Asuransi,SH.010,Kendaraan Roda Empat,Minibus 2000cc,Unit,457,288756000,1.0,131961492000,2025,Murni,1.1.01,Kas di Kas Daerah,03,Penunjukan Langsung,Gedung Serbaguna,APBD Perubahan,Prioritas daerah,Selesai
34,DI Yogyakarta,SAT-34-049,34.01,Kota Yogyakarta,34.01.23,Inspektorat Daerah,34.01.23.05,UPT Wilayah I - Inspektorat Daerah,4,Urusan Pemerintahan Umum,23,Kepegawaian,4.03.09,Program Pemberdayaan Masyarakat,Persentase partisipasi masyarakat,84,%,Meningkatnya pemberdayaan masyarakat,4.03.09.09,Pembangunan Jalan dan Jembatan,Panjang jalan terbangun,286,Km,4.03.09.09.01,Penyediaan Gaji dan Tunjangan ASN,Jumlah ASN terbayar,113,Orang,6,Dana Transfer Khusus,5,Belanja Daerah,5.4,Belanja Transfer,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.022,Bahan Bangunan Besi Beton,D10mm per batang,Batang,187,82000,1.0,15334000,2023,Perubahan,5.1.01,Rekening Belanja Pegawai,04,E-Purchasing,Ruang Rapat Utama,Dana Transfer,,Proses Verifikasi
12,Sumatera Utara,SAT-12-047,12.01,Kota Medan,12.01.16,Dinas Kebudayaan dan Pariwisata,12.01.16.05,UPT Wilayah I - Dinas Kebudayaan dan Pariwisata,1,Urusan Wajib Pelayanan Dasar,05,Ketenteraman dan Ketertiban Umum,1.05.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,61,%,Meningkatnya kualitas infrastruktur dasar,1.05.03.09,Pembangunan Jalan dan Jembatan,Panjang jalan terbangun,436,Km,1.05.03.09.11,Cetak dan Penggandaan Dokumen,Jumlah dokumen tercetak,53,Eksemplar,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.4,Belanja Transfer,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.039,Spidol Whiteboard,Spidol non-permanent,Buah,181,12156,1.0,2200236,2023,Murni,5.1.02,Rekening Belanja Barang,02,Pengadaan Melalui Tender,Lapangan Umum,Dana Transfer,,Disetujui
32,Jawa Barat,SAT-32-007,32.03,Kota Bogor,32.03.14,Dinas Penanaman Modal dan PTSP,32.03.14.05,UPT Wilayah I - Dinas Penanaman Modal dan PTSP,2,Urusan Wajib Non Pelayanan Dasar,08,Pemberdayaan Perempuan dan Perlindungan Anak,2.02.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,58,Tahun,Meningkatnya derajat kesehatan masyarakat,2.02.10.02,Penyediaan Barang dan Jasa Perkantoran,Jumlah barang/jasa tersedia,283,Paket,2.02.10.02.10,Pelaksanaan Survei dan Pendataan,Jumlah responden,194,Orang,5,Dana Desa,5,Belanja Daerah,5.1,Belanja Operasi,5.1.05,Belanja Hibah,5.1.02.06,Belanja Cetak dan Penggandaan,SH.019,Jasa Kebersihan Kantor,Per bulan,Bulan,365,4519000,1.0,1649435000,2024,Murni,1.1.01,Kas di Kas Daerah,04,E-Purchasing,Kantor SKPD,Dana Transfer,,Revisi
34,DI Yogyakarta,SAT-34-039,34.01,Kota Yogyakarta,34.01.10,Dinas Pengendalian Penduduk dan Keluarga Berencana,34.01.10.02,Bidang Perencanaan - Dinas Pengendalian Penduduk dan Keluarga Berencana,3,Urusan Pilihan,19,Perdagangan,3.03.07,Program Penanggulangan Kemiskinan,Persentase penduduk miskin,52,%,Menurunnya tingkat kemiskinan,3.03.07.13,Sosialisasi dan Penyuluhan,Jumlah peserta sosialisasi,141,Orang,3.03.07.13.02,Pengadaan ATK dan Bahan Habis Pakai,Jumlah ATK tersedia,126,Paket,2,Dana Alokasi Khusus (DAK),5,Belanja Daerah,5.4,Belanja Transfer,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.01,Belanja Modal Komputer,SH.041,Paper Clip,Paper clip kecil isi 100,Kotak,1,4958,1.0,4958,2023,Perubahan,5.1.01,Rekening Belanja Pegawai,04,E-Purchasing,Ruang Rapat Utama,Dana Transfer,Lanjutan tahun sebelumnya,Disetujui
34,DI Yogyakarta,SAT-34-045,34.01,Kota Yogyakarta,34.01.13,Dinas Koperasi dan UKM,34.01.13.05,UPT Wilayah I - Dinas Koperasi dan UKM,2,Urusan Wajib Non Pelayanan Dasar,15,Perhubungan,2.09.05,Program Pengembangan Ekonomi Kreatif,Pertumbuhan ekonomi kreatif,65,%,Meningkatnya kontribusi ekonomi kreatif,2.09.05.06,Pelaksanaan Monitoring dan Evaluasi,Jumlah kegiatan monev,213,Kegiatan,2.09.05.06.11,Cetak dan Penggandaan Dokumen,Jumlah dokumen tercetak,164,Eksemplar,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.1.04,Belanja Subsidi,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.047,Sabun Cuci Tangan,Sabun cair 500ml,Botol,305,32640,0.5,4977600,2023,Perubahan,5.2.01,Rekening Belanja Modal,01,Pembelian Langsung,Lapangan Umum,APBD Perubahan,Menunggu DAK,Selesai
32,Jawa Barat,SAT-32-012,32.03,Kota Bogor,32.03.24,Sekretariat Daerah,32.03.24.04,Bidang Evaluasi dan Pelaporan - Sekretariat Daerah,4,Urusan Pemerintahan Umum,21,Perencanaan,4.01.08,Program Peningkatan Tata Kelola Pemerintahan,Nilai SAKIP,77,Predikat,Meningkatnya akuntabilitas kinerja,4.01.08.04,Peningkatan Kapasitas Aparatur,Jumlah aparatur yang ditingkatkan,90,Orang,4.01.08.04.08,Penyediaan Jasa Keamanan,Jumlah petugas keamanan,186,Orang,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.2,Belanja Modal,5.2.04,"Belanja Modal Jalan, Irigasi dan Jaringan",5.2.04.01,Belanja Modal Konstruksi Jalan,SH.028,Buku Pelajaran,Per eksemplar,Eksemplar,41,150000,1.1,6765000,2023,Murni,1.1.01,Kas di Kas Daerah,03,Penunjukan Langsung,Puskesmas,Dana Transfer,,Proses Verifikasi
32,Jawa Barat,SAT-32-018,32.03,Kota Bogor,32.03.19,Dinas Perdagangan dan Perindustrian,32.03.19.05,UPT Wilayah I - Dinas Perdagangan dan Perindustrian,2,Urusan Wajib Non Pelayanan Dasar,15,Perhubungan,2.09.09,Program Pemberdayaan Masyarakat,Persentase partisipasi masyarakat,51,%,Meningkatnya pemberdayaan masyarakat,2.09.09.10,Pengelolaan Data dan Informasi,Jumlah data terkelola,312,Dataset,2.09.09.10.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,109,Orang,5,Dana Desa,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.01,Belanja Modal Komputer,SH.001,Kertas HVS A4 70gr,Rim 500 lembar,Rim,224,62000,2.0,27776000,2025,Perubahan,1.1.01,Kas di Kas Daerah,03,Penunjukan Langsung,Lapangan Umum,APBD Perubahan,,Selesai
